ID,Years In Office,Number,Party
Abraham Lincoln,1861-1865,16,Republican
Andrew Jackson,1829-1837,7,Democratic
Andrew Johnson,1865-1869,17,Democratic/Union
Barack Obama,2009-2017,44,Democratic
Benjamin Harrison,1889-1893,23,Republican
Calvin Coolidge,1923-1929,30,Republican
Chester A. Arthur,1881-1885,21,Republican
Donald Trump,2017-2021,45,Republican
Dwight D. Eisenhower,1953-1961,34,Republican
Franklin D. Roosevelt,1933-1945,32,Democratic
Franklin Pierce,1853-1857,14,Democratic
George H. W. Bush,1989-1993,41,Republican
George W. Bush,2001-2009,43,Republican
George Washington,1789-1797,1,Federalist
Gerald Ford,1974-1977,38,Republican
Grover Cleveland,1885-1889&1893-1897,22 & 24,Democratic
Harry S. Truman,1945-1953,33,Democratic
Herbert Hoover,1929-1933,31,Republican
Jimmy Carter,1977-1981,39,Democratic
James A. Garfield,1881,20,Republican
James K. Polk,1845-1849,11,Democratic
James Buchanan,1857-1861,15,Democratic
James Madison,1809-1817,4,Democratic Republican
James Monroe,1817-1825,5,Democratic Republican
Joe Biden,2021-,46,Democratic
John F. Kennedy,1961-1963,35,Democratic
John Quincy Adams,1825-1829,6,Democratic Republican
John Adams,1797-1801,2,Federalist
John Tyler,1841-1845,10,Whig
Lyndon B. Johnson,1963-1969,36,Democratic
Martin Van Buren,1837-1841,8,Democratic
Millard Fillmore,1850-1853,13,Whig
Richard M. Nixon,1969-1974,37,Republican
Ronald Reagan,1981-1989,40,Republican
Rutherford B. Hayes,1877-1881,19,Republican
Theodore Roosevelt,1901-1909,26,Republican
Thomas Jefferson,1801-1809,3,Democratic Republican
Ulysses S. Grant,1869-1877,18,Republican
Warren G. Harding,1921-1923,29,Republican
Bill Clinton,1993-2001,42,Democratic
William Harrison,1841,9,Whig
William Taft,1909-1913,27,Republican
William McKinley,1897-1901,25,Republican
Woodrow Wilson,1913-1921,28,Democratic
Zachary Taylor,1849-1850,12,Whig
